x-axis,1,2,3
second,Volt,Volt,Volt
-250.0000E-06,-33.4296525E-03,-3.9195977E-03,-378.1407E-06
-249.7500E-06,-30.4145771E-03,-4.7236178E-03,-177.1357E-06
-249.5000E-06,-33.4296525E-03,-3.5175877E-03,-378.1407E-06
-249.2500E-06,-33.4296525E-03,-3.3165826E-03,-579.1457E-06
-249.0000E-06,-29.4095520E-03,-3.9195977E-03,+425.8794E-06
-248.7500E-06,-36.4447278E-03,-3.3165826E-03,-579.1457E-06
-248.5000E-06,-35.4397027E-03,-3.9195977E-03,-378.1407E-06
-248.2500E-06,-34.4346776E-03,-3.1155776E-03,-780.1508E-06
-248.0000E-06,-33.4296525E-03,-3.9195977E-03,-378.1407E-06
-247.7500E-06,-33.4296525E-03,-4.3216078E-03,-177.1357E-06
-247.5000E-06,-33.4296525E-03,-4.3216078E-03,-378.1407E-06
-247.2500E-06,-32.4246273E-03,-4.1206027E-03,-177.1357E-06
-247.0000E-06,-33.4296525E-03,-3.9195977E-03,-378.1407E-06
-246.7500E-06,-31.4196022E-03,-4.7236178E-03,-378.1407E-06
-246.5000E-06,-35.4397027E-03,-3.9195977E-03,-378.1407E-06
-246.2500E-06,-33.4296525E-03,-4.9246228E-03,-177.1357E-06
-246.0000E-06,-33.4296525E-03,-3.1155776E-03,+425.8794E-06
-245.7500E-06,-32.4246273E-03,-4.9246228E-03,-378.1407E-06
-245.5000E-06,-35.4397027E-03,-3.5175877E-03,+425.8794E-06
-245.2500E-06,-29.4095520E-03,-3.3165826E-03,+425.8794E-06
-245.0000E-06,-33.4296525E-03,-3.1155776E-03,-378.1407E-06
-244.7500E-06,-33.4296525E-03,-4.1206027E-03,-378.1407E-06
-244.5000E-06,-33.4296525E-03,-3.1155776E-03,+23.8693E-06
-244.2500E-06,-34.4346776E-03,-3.5175877E-03,+224.8744E-06
-244.0000E-06,-33.4296525E-03,-3.1155776E-03,+425.8794E-06
-243.7500E-06,-33.4296525E-03,-3.9195977E-03,+23.8693E-06
-243.5000E-06,-31.4196022E-03,-3.1155776E-03,-378.1407E-06
-243.2500E-06,-37.4497529E-03,-4.1206027E-03,-177.1357E-06
-243.0000E-06,-33.4296525E-03,-2.3115575E-03,-378.1407E-06
-242.7500E-06,-32.4246273E-03,-3.1155776E-03,+425.8794E-06
-242.5000E-06,-31.4196022E-03,-3.9195977E-03,-378.1407E-06
-242.2500E-06,-32.4246273E-03,-4.1206027E-03,-981.1558E-06
-242.0000E-06,-37.4497529E-03,-3.1155776E-03,+425.8794E-06
-241.7500E-06,-36.4447278E-03,-3.9195977E-03,+425.8794E-06
-241.5000E-06,-33.4296525E-03,-3.5175877E-03,-378.1407E-06
-241.2500E-06,-33.4296525E-03,-3.7185927E-03,-177.1357E-06
-241.0000E-06,-33.4296525E-03,-3.9195977E-03,+425.8794E-06
-240.7500E-06,-33.4296525E-03,-2.3115575E-03,+23.8693E-06
-240.5000E-06,-33.4296525E-03,-3.5175877E-03,+425.8794E-06
-240.2500E-06,-33.4296525E-03,-2.3115575E-03,+23.8693E-06
-240.0000E-06,-29.4095520E-03,-4.7236178E-03,+425.8794E-06
-239.7500E-06,-34.4346776E-03,-2.3115575E-03,-177.1357E-06
-239.5000E-06,-37.4497529E-03,-3.5175877E-03,+23.8693E-06
-239.2500E-06,-33.4296525E-03,-4.7236178E-03,-378.1407E-06
-239.0000E-06,-33.4296525E-03,-4.7236178E-03,+425.8794E-06
