x-axis,1,2,3
second,Volt,Volt,Volt
-238.2500E-06,-34.4598079E-03,-840.4520E-06,-378.1407E-06
-238.0000E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-237.7500E-06,-35.4648330E-03,-438.4420E-06,+224.8744E-06
-237.5000E-06,-32.4497577E-03,-237.4370E-06,+23.8693E-06
-237.2500E-06,-33.4547828E-03,-840.4520E-06,+224.8744E-06
-237.0000E-06,-32.4497577E-03,-1.0414571E-03,-378.1407E-06
-236.7500E-06,-32.4497577E-03,-237.4370E-06,+224.8744E-06
-236.5000E-06,-34.4598079E-03,-237.4370E-06,+425.8794E-06
-236.2500E-06,-32.4497577E-03,-1.6444721E-03,-177.1357E-06
-236.0000E-06,-32.4497577E-03,-1.0414571E-03,-378.1407E-06
-235.7500E-06,-32.4497577E-03,-438.4420E-06,+224.8744E-06
-235.5000E-06,-34.4598079E-03,-1.0414571E-03,+425.8794E-06
-235.2500E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-235.0000E-06,-36.4698581E-03,-1.0414571E-03,+425.8794E-06
-234.7500E-06,-32.4497577E-03,+365.5781E-06,-177.1357E-06
-234.5000E-06,-32.4497577E-03,-639.4470E-06,+23.8693E-06
-234.2500E-06,-36.4698581E-03,-1.0414571E-03,-378.1407E-06
-234.0000E-06,-36.4698581E-03,+566.5831E-06,-378.1407E-06
-233.7500E-06,-34.4598079E-03,-1.0414571E-03,-378.1407E-06
-233.5000E-06,-36.4698581E-03,-639.4470E-06,-780.1508E-06
-233.2500E-06,-35.4648330E-03,-840.4520E-06,-981.1558E-06
-233.0000E-06,-36.4698581E-03,-1.0414571E-03,-378.1407E-06
-232.7500E-06,-35.4648330E-03,-1.0414571E-03,+224.8744E-06
-232.5000E-06,-34.4598079E-03,-1.0414571E-03,-378.1407E-06
-232.2500E-06,-33.4547828E-03,-237.4370E-06,+224.8744E-06
-232.0000E-06,-36.4698581E-03,-1.0414571E-03,-378.1407E-06
-231.7500E-06,-32.4497577E-03,+365.5781E-06,+224.8744E-06
-231.5000E-06,-32.4497577E-03,-639.4470E-06,-780.1508E-06
-231.2500E-06,-33.4547828E-03,-438.4420E-06,+425.8794E-06
-231.0000E-06,-32.4497577E-03,+566.5831E-06,-1.1821608E-03
-230.7500E-06,-32.4497577E-03,-438.4420E-06,-177.1357E-06
-230.5000E-06,-34.4598079E-03,+164.5731E-06,-378.1407E-06
-230.2500E-06,-33.4547828E-03,-840.4520E-06,+425.8794E-06
-230.0000E-06,-36.4698581E-03,-237.4370E-06,-378.1407E-06
-229.7500E-06,-31.4447326E-03,-1.6444721E-03,-378.1407E-06
-229.5000E-06,-32.4497577E-03,-237.4370E-06,+23.8693E-06
-229.2500E-06,-35.4648330E-03,-840.4520E-06,-378.1407E-06
-229.0000E-06,-40.4899586E-03,-237.4370E-06,+425.8794E-06
-228.7500E-06,-35.4648330E-03,-237.4370E-06,+224.8744E-06
-228.5000E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-228.2500E-06,-33.4547828E-03,-1.0414571E-03,-1.1821608E-03
-228.0000E-06,-32.4497577E-03,-237.4370E-06,+425.8794E-06
-227.7500E-06,-32.4497577E-03,-840.4520E-06,+425.8794E-06
-227.5000E-06,-32.4497577E-03,-639.4470E-06,-780.1508E-06
-227.2500E-06,-32.4497577E-03,-1.0414571E-03,+224.8744E-06
