GPS Location:,Unlocked,,,,,
Y Axis Scale,LOG,,,,,
Y Axis Unit,dBm,,,,,
Impedance,50,,,,,
Number of Points,461,,,,,
Sweep Time(s),0.028295,AUTO,,,,
Start Frequency,99996242,,,,,
Stop Frequency,100006699,,,,,
Frequency Offset,0,,,,,
Average Type,Log Pwr,,,,,
RBW,100,AUTO,,,,
VBW,100,AUTO,,,,
Sweep Type,Continuous,,,,,
Speed,Fast,,,,,
Sweep Mode,AUTO,,,,,
PreAmp State,OFF,,,,,
Ref Level,-32.59090805,,,,,
Attenuation,10,,,,,
Ref Level Offset,0,,,,,
X Axis Units,Hz,,,,,
HiSensitive,OFF,,,,,
Trigger Source,FreeRun,,,,,
Trigger Level,0,,,,,
Trigger Slope,RISE,,,,,
Trigger Delay,0,OFF,,,,
Ampt Correction,OFF,,,,,
Antenna Unit,OFF,,,,,
Correction1,OFF,,,,,
Correction2,OFF,,,,,
Correction3,OFF,,,,,
Correction4,OFF,,,,,
Correction5,OFF,,,,,
Trace Math,Off,,,,,
Trace Math By,Log Pwr,,,,,
Trace Variable A,Trace1,,,,,
Trace Variable B,Trace2,,,,,
Trace Variable C,Trace3,,,,,
Trace Name,Trace1,,,,,
Average Count,100,,,,,
Trace Type,ClearWrite,,,,,
Detector,PosPeak,,,,,
Trace Data,,,,,,
99996242,-100.4940567,9.9996242,,,,
99996264.73,-102.4801865,9.999626473,,,,
99996287.47,-105.882576,9.999628747,,,,
99996310.2,-109.4703751,9.99963102,,,,
99996332.93,-108.7886276,9.999633293,,,,
99996355.66,-106.8741684,9.999635566,,,,
99996378.4,-105.953743,9.99963784,,,,
99996401.13,-106.183754,9.999640113,,,,
99996423.86,-107.1641312,9.999642386,,,,
99996446.59,-108.716423,9.999644659,,,,
99996469.33,-110.7082138,9.999646933,,,,
99996492.06,-112.8100967,9.999649206,,,,
99996514.79,-113.065773,9.999651479,,,,
99996537.52,-110.1179886,9.999653752,,,,
99996560.26,-107.5227737,9.999656026,,,,
99996582.99,-106.1164322,9.999658299,,,,
99996605.72,-105.7400131,9.999660572,,,,
99996628.45,-106.2794418,9.999662845,,,,
99996651.19,-107.5409317,9.999665119,,,,
99996673.92,-109.073082,9.999667392,,,,
99996696.65,-110.3682022,9.999669665,,,,
99996719.38,-111.3486099,9.999671938,,,,
99996742.12,-112.4096909,9.999674212,,,,
99996764.85,-113.5626602,9.999676485,,,,
99996787.58,-113.8408432,9.999678758,,,,
99996810.32,-111.397728,9.999681032,,,,
99996833.05,-108.174324,9.999683305,,,,
99996855.78,-106.3281784,9.999685578,,,,
99996878.51,-105.7895432,9.999687851,,,,
99996901.25,-106.404747,9.999690125,,,,
99996923.98,-108.2186508,9.999692398,,,,
99996946.71,-111.5139389,9.999694671,,,,
99996969.44,-117.1025162,9.999696944,,,,
99996992.18,-136.5199432,9.999699218,,,,
99997014.91,-124.5233536,9.999701491,,,,
99997037.64,-117.857811,9.999703764,,,,
99997060.37,-115.9340897,9.999706037,,,,
99997083.11,-113.7533646,9.999708311,,,,
99997105.84,-110.7669601,9.999710584,,,,
99997128.57,-108.0661697,9.999712857,,,,
99997151.3,-106.5291977,9.99971513,,,,
99997174.04,-106.1475754,9.999717404,,,,
99997196.77,-106.8612442,9.999719677,,,,
99997219.5,-108.724617,9.99972195,,,,
99997242.23,-112.3796158,9.999724223,,,,
99997264.97,-118.9391251,9.999726497,,,,
99997287.7,-113.5406265,9.99972877,,,,
99997310.43,-108.6362991,9.999731043,,,,
99997333.17,-106.3107986,9.999733317,,,,
99997355.9,-106.1012344,9.99973559,,,,
99997378.63,-108.5641556,9.999737863,,,,
99997401.36,-113.5226669,9.999740136,,,,
99997424.1,-116.2165604,9.99974241,,,,
99997446.83,-109.7429123,9.999744683,,,,
99997469.56,-108.4486618,9.999746956,,,,
99997492.29,-111.6856308,9.999749229,,,,
99997515.03,-120.8758163,9.999751503,,,,
99997537.76,-112.6173935,9.999753776,,,,
99997560.49,-105.8755875,9.999756049,,,,
99997583.22,-102.9880447,9.999758322,,,,
99997605.96,-101.621727,9.999760596,,,,
99997628.69,-101.180336,9.999762869,,,,
99997651.42,-101.4104538,9.999765142,,,,
99997674.15,-102.2079544,9.999767415,,,,
99997696.89,-103.4932785,9.999769689,,,,
99997719.62,-105.0839615,9.999771962,,,,
99997742.35,-106.7086411,9.999774235,,,,
99997765.08,-108.2748337,9.999776508,,,,
99997787.82,-109.7644119,9.999778782,,,,
99997810.55,-111.0126114,9.999781055,,,,
99997833.28,-111.0773087,9.999783328,,,,
99997856.02,-109.6954117,9.999785602,,,,
99997878.75,-108.3633194,9.999787875,,,,
99997901.48,-107.7026443,9.999790148,,,,
99997924.21,-107.4445114,9.999792421,,,,
99997946.95,-107.454628,9.999794695,,,,
99997969.68,-108.1816483,9.999796968,,,,
99997992.41,-110.0989456,9.999799241,,,,
99998015.14,-113.0343704,9.999801514,,,,
99998037.88,-115.3628922,9.999803788,,,,
99998060.61,-118.2878799,9.999806061,,,,
99998083.34,-123.1323776,9.999808334,,,,
99998106.07,-125.8759384,9.999810607,,,,
99998128.81,-113.253334,9.999812881,,,,
99998151.54,-110.0702438,9.999815154,,,,
99998174.27,-109.0208359,9.999817427,,,,
99998197,-109.1573715,9.9998197,,,,
99998219.74,-109.5216751,9.999821974,,,,
99998242.47,-109.6261063,9.999824247,,,,
99998265.2,-109.4921494,9.99982652,,,,
99998287.93,-108.8947067,9.999828793,,,,
99998310.67,-108.0717545,9.999831067,,,,
99998333.4,-107.750267,9.99983334,,,,
99998356.13,-108.5756302,9.999835613,,,,
99998378.87,-111.5634995,9.999837887,,,,
99998401.6,-114.0337448,9.99984016,,,,
99998424.33,-113.7278214,9.999842433,,,,
99998447.06,-109.2111282,9.999844706,,,,
99998469.8,-106.8867569,9.99984698,,,,
99998492.53,-106.419899,9.999849253,,,,
99998515.26,-107.4405289,9.999851526,,,,
99998537.99,-109.2684555,9.999853799,,,,
99998560.73,-109.8095016,9.999856073,,,,
99998583.46,-108.1849289,9.999858346,,,,
99998606.19,-106.5530624,9.999860619,,,,
99998628.92,-105.8774796,9.999862892,,,,
99998651.66,-106.4514847,9.999865166,,,,
99998674.39,-108.6277542,9.999867439,,,,
99998697.12,-117.7975693,9.999869712,,,,
99998719.85,-120.1151047,9.999871985,,,,
99998742.59,-114.0138779,9.999874259,,,,
99998765.32,-108.3875656,9.999876532,,,,
99998788.05,-105.7565689,9.999878805,,,,
99998810.78,-103.1963425,9.999881078,,,,
99998833.52,-100.6989822,9.999883352,,,,
99998856.25,-98.63838959,9.999885625,,,,
99998878.98,-97.22292328,9.999887898,,,,
99998901.72,-96.44524384,9.999890172,,,,
99998924.45,-96.23639679,9.999892445,,,,
99998947.18,-96.5881424,9.999894718,,,,
99998969.91,-97.51808929,9.999896991,,,,
99998992.65,-98.94417572,9.999899265,,,,
