ShelvingIntensityAverageAmp025,ShelvingIntensityUncertaintyAmp025
0.04504811838232475,0.014796605952347303
0.08155825523097704,0.01069298910501006
0.04327672741444022,0.021874988996821502
0.05823420735050411,0.009744150246721869
0.07064885093045292,0.016609011607803335
0.12113573760515534,0.006790643186745919
0.12275416148957902,0.009400316326643662
0.14156966177449587,0.004912676463197837
0.08603419211153562,0.023641428331801148
0.16028714454397047,0.009849256815411146
0.13453626460237095,0.01832678200068531
0.1337711669384295,0.021229407625177707
0.09134855193398234,0.008976612916529883
0.09889331830383308,0.011824207547691687
0.10469245914520381,0.015551819644414067
0.08487315169767701,0.01520297552872795
0.0618304611863536,0.027139489831760902
0.08048369725065202,0.011748554414605027
0.047007985815017195,0.011341898587890867
0.06073055527083465,0.016506635952499484
0.08613437813707187,0.008328003457567965
0.07838622952682511,0.012392824676261118
0.09277658278508005,0.014031564108441058
0.14414968740660394,0.012885461327629395
0.1532707379533274,0.007431983668863947
0.17602526999691676,0.0157816329675055
0.22362976431806547,0.027168442475660255
0.1522256749256392,0.018180323077623482
0.14044371420944146,0.015912190552373414
0.11681950249572765,0.0035993137235679666
0.06700570704502057,0.016202598582152044
0.07826933899530786,0.007940274341573402
0.05922608134317797,0.012210972828563194
0.06014494269050519,0.028829304179022276
0.022072607836782887,0.015453533355594472
0.05709285848248824,0.005470054449672224
0.06618108113821458,0.013736147180048262
0.07265685219555851,0.019836455680935623
0.10161647853977696,0.003422351024950978
0.11898323343511147,0.008585681407966922
0.11109613161303161,0.014412934359941756
0.13914668186254503,0.009586065451503523
0.15878769601652254,0.011485585386392048
0.15058520479466908,0.00898708318979761
0.1150417892346533,0.015680225538561254
0.11172361798566055,0.012056071181529952
0.1044633666760969,0.01526223243802858
0.08178515215889631,0.009962449071765361
0.09837537525657747,0.012212007413039813
0.0642144616215829,0.012887399479645862
0.04326768404094605,0.00260188474611218
0.04814729359893677,0.017586076175753453
0.050210043257276904,0.01447913541394407
0.032478842969300814,0.015056004703683935
0.060969651636522015,0.010492350279007339
0.007545340604993567,0.010208439732096083
0.07791837822552733,0.012266721880907844
0.04159783402436101,0.013532742240486709
0.023333372338979252,0.027127142399202612
0.04047592857683646,0.015042940024126749
0.005355989739524836,0.013634137196961707
-0.0047074441866194194,0.0024661853921379897
0.005426076745132513,0.015045377115692893
0.028489469412564083,0.008610908886691273
-0.007678138421579189,0.008511761818191552
0.01099646389246628,0.009251276577083934
0.02372327558922216,0.006325307656190294
0.022396282457709638,0.013172433489219686
0.014093002360625051,0.009373508967882516
-0.012614770981356715,0.013034035407098648
0.02430109906927841,0.005177090174362735
0.019084124519783197,0.014133377696988214
0.028632703005231075,0.008653625860864482
-0.027284213926510648,0.013031005511605074
0.06549802947695665,0.012169270386643947
0.02693388552181092,0.014665904963500797
0.05483121564652521,0.011380683452445063
