GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.034735,AUTO
Start Frequency,50000000
Stop Frequency,750000000
Frequency Offset,0
Average Type,Log Pwr
RBW,3000000,AUTO
VBW,3000000,AUTO
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,24
Attenuation,45
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,6E-06,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
50000000,-28.199312210083
51521739.1304348,-29.60178565979
53043478.2608696,-30.846097946167
54565217.3913043,-29.5398502349854
56086956.5217391,-35.3141746520996
57608695.6521739,-29.8107604980469
59130434.7826087,-28.3441295623779
60652173.9130435,-33.7219886779785
62173913.0434783,-25.8879146575928
63695652.173913,-35.2505760192871
65217391.3043478,-29.4873065948486
66739130.4347826,-27.6357021331787
68260869.5652174,-34.5966186523438
69782608.6956522,-34.259765625
71304347.826087,-31.7721672058105
72826086.9565218,-26.5535488128662
74347826.0869565,-36.2156639099121
75869565.2173913,-27.1829280853271
77391304.3478261,-28.4503078460693
78913043.4782609,-35.1945762634277
80434782.6086957,-30.4497032165527
81956521.7391304,-31.5879402160645
83478260.8695652,-31.3879222869873
85000000,-26.4781131744385
86521739.1304348,-29.9150333404541
88043478.2608696,-29.5941295623779
89565217.3913043,-28.9255619049072
91086956.5217391,-34.2098960876465
92608695.6521739,-23.2652282714844
94130434.7826087,-27.8002510070801
95652173.9130435,-10.0069875717163
97173913.0434783,14.0401430130005
98695652.173913,20.9816741943359
100217391.304348,22.1381378173828
101739130.434783,19.0174827575684
103260869.565217,6.57198619842529
104782608.695652,-22.7689914703369
106304347.826087,-27.4843940734863
107826086.956522,-28.3952140808105
109347826.086957,-34.5215034484863
110869565.217391,-30.03102684021
112391304.347826,-32.2303123474121
113913043.478261,-29.8045215606689
115434782.608696,-31.9463386535645
116956521.73913,-26.0026302337646
118478260.869565,-28.8254127502441
120000000,-33.7136688232422
121521739.130435,-31.3524188995361
123043478.26087,-27.5895938873291
124565217.391304,-29.1760501861572
126086956.521739,-34.1132698059082
127608695.652174,-30.3077793121338
129130434.782609,-29.3649845123291
130652173.913043,-29.5070304870605
132173913.043478,-29.2631874084473
133695652.173913,-29.6391658782959
135217391.304348,-32.2520179748535
136739130.434783,-33.085994720459
138260869.565217,-37.8528861999512
139782608.695652,-35.431812286377
141304347.826087,-27.313533782959
142826086.956522,-28.2381172180176
144347826.086957,-28.502815246582
145869565.217391,-32.8335990905762
147391304.347826,-31.0884552001953
148913043.478261,-32.3553810119629
150434782.608696,-28.9225311279297
151956521.73913,-28.7989311218262
153478260.869565,-26.0653457641602
155000000,-29.4214248657227
156521739.130435,-30.8705139160156
158043478.26087,-34.1144714355469
159565217.391304,-35.9974708557129
161086956.521739,-33.5604515075684
162608695.652174,-33.3575172424316
164130434.782609,-32.0642967224121
165652173.913043,-29.2929000854492
167173913.043478,-30.5504570007324
168695652.173913,-37.5984916687012
170217391.304348,-27.3520698547363
171739130.434783,-29.4010429382324
173260869.565217,-25.9538612365723
174782608.695652,-33.510311126709
176304347.826087,-36.8436164855957
177826086.956522,-35.3507194519043
179347826.086957,-35.6642646789551
180869565.217391,-38.2478370666504
182391304.347826,-35.8918342590332
183913043.478261,-36.3178825378418
185434782.608696,-36.9592552185059
186956521.73913,-27.3076095581055
188478260.869565,-30.1473426818848
190000000,-36.6347236633301
191521739.130435,-27.4308967590332
193043478.26087,-34.3123817443848
194565217.391304,-31.6490440368652
196086956.521739,-23.2879638671875
197608695.652174,-5.31177043914795
199130434.782609,-0.195315539836884
200652173.913043,-0.257136523723602
202173913.043478,-5.42649364471436
203695652.173913,-25.485969543457
205217391.304348,-33.0643043518066
206739130.434783,-29.9063034057617
208260869.565217,-31.3766288757324
209782608.695652,-31.6827049255371
211304347.826087,-35.564998626709
212826086.956522,-34.1470222473145
214347826.086957,-41.6882133483887
215869565.217391,-28.4503059387207
217391304.347826,-32.9625434875488
218913043.478261,-39.5246849060059
220434782.608696,-28.0448188781738
221956521.73913,-32.924388885498
223478260.869565,-31.3017692565918
225000000,-34.8767204284668
226521739.130435,-31.0177955627441
228043478.26087,-30.8036575317383
229565217.391304,-31.5173454284668
231086956.521739,-25.8855094909668
232608695.652174,-24.9335861206055
234130434.782609,-24.8701477050781
235652173.913043,-25.3827972412109
237173913.043478,-26.1322364807129
238695652.173913,-29.7422370910645
240217391.304348,-27.2748718261719
241739130.434783,-23.1786422729492
243260869.565217,-36.5060386657715
244782608.695652,-29.5360908508301
246304347.826087,-29.7044639587402
247826086.956522,-31.1965217590332
249347826.086957,-25.7271881103516
250869565.217391,-31.1814079284668
252391304.347826,-26.3244247436523
253913043.478261,-33.0453071594238
255434782.608696,-38.1563148498535
256956521.73913,-34.6072654724121
258478260.869565,-27.7013816833496
260000000,-26.4083442687988
261521739.130435,-28.1233940124512
263043478.26087,-26.7051429748535
264565217.391304,-27.8506317138672
266086956.521739,-35.299861907959
267608695.652174,-29.2931213378906
269130434.782609,-29.546817779541
270652173.913044,-30.4716262817383
272173913.043478,-26.6916351318359
273695652.173913,-32.2543754577637
275217391.304348,-33.8364906311035
276739130.434783,-26.4486618041992
278260869.565217,-27.2891883850098
279782608.695652,-31.305965423584
281304347.826087,-34.8066368103027
282826086.956522,-31.0757255554199
284347826.086957,-25.1679306030273
285869565.217391,-32.1939353942871
287391304.347826,-30.1458778381348
288913043.478261,-27.5148315429688
290434782.608696,-23.6103782653809
291956521.73913,-24.9173126220703
293478260.869565,-25.5645790100098
295000000,-27.7723655700684
296521739.130435,-5.43824672698975
298043478.26087,7.66969203948975
299565217.391304,10.9341039657593
301086956.521739,9.72732639312744
302608695.652174,2.49266123771667
304130434.782609,-19.7135429382324
305652173.913044,-40.3468894958496
307173913.043478,-23.0868263244629
308695652.173913,-28.6704635620117
310217391.304348,-34.1870384216309
311739130.434783,-37.0866050720215
313260869.565217,-28.7299385070801
314782608.695652,-29.2760848999023
316304347.826087,-33.7791023254395
317826086.956522,-25.7906150817871
319347826.086957,-34.8659477233887
320869565.217391,-32.5827598571777
322391304.347826,-27.3486251831055
323913043.478261,-29.3637008666992
325434782.608696,-29.0060348510742
326956521.73913,-33.0851783752441
328478260.869565,-28.6543922424316
330000000,-33.7111167907715
331521739.130435,-29.1491088867188
333043478.26087,-29.1415557861328
334565217.391304,-32.7106895446777
