Time,Channel B
(s),(mV)

0.00000000,219.71800000
0.00020000,221.45760000
0.00040000,219.42810000
0.00060000,220.58780000
0.00080000,220.29790000
0.00100000,218.57360000
0.00120000,219.71800000
0.00140000,220.87770000
0.00160000,221.74750000
0.00180000,219.42810000
0.00200000,222.32730000
0.00220000,221.16760000
0.00240000,220.29790000
0.00260000,220.00790000
0.00280000,222.32730000
0.00300000,219.42810000
0.00320000,219.71800000
0.00340000,220.00790000
0.00360000,220.87770000
0.00380000,219.71800000
0.00400000,220.00790000
0.00420000,218.57360000
0.00440000,221.16760000
0.00460000,222.32730000
0.00480000,220.29790000
0.00500000,220.87770000
0.00520000,221.16760000
0.00540000,221.45760000
0.00560000,220.00790000
0.00580000,221.74750000
0.00600000,221.74750000
0.00620000,222.32730000
0.00640000,220.29790000
0.00660000,220.29790000
0.00680000,222.03740000
0.00700000,220.58780000
0.00720000,221.74750000
0.00740000,221.16760000
0.00760000,221.16760000
0.00780000,220.87770000
0.00800000,220.87770000
0.00820000,220.29790000
0.00840000,220.87770000
0.00860000,219.15340000
0.00880000,220.58780000
0.00900000,220.58780000
0.00920000,221.16760000
0.00940000,219.71800000
0.00960000,222.32730000
0.00980000,221.16760000
0.01000000,219.71800000
0.01020000,221.16760000
0.01040000,220.29790000
0.01060000,220.29790000
0.01080000,220.58780000
0.01100000,221.16760000
0.01120000,220.00790000
0.01140000,220.58780000
0.01160000,222.61720000
0.01180000,220.87770000
0.01200000,221.74750000
0.01220000,221.74750000
0.01240000,220.87770000
0.01260000,220.58780000
0.01280000,220.29790000
0.01300000,220.29790000
0.01320000,220.29790000
0.01340000,222.03740000
0.01360000,219.71800000
0.01380000,220.00790000
0.01400000,220.00790000
0.01420000,221.16760000
0.01440000,222.32730000
0.01460000,218.86350000
0.01480000,220.00790000
0.01500000,219.42810000
0.01520000,220.00790000
0.01540000,222.61720000
0.01560000,219.15340000
0.01580000,220.00790000
0.01600000,220.00790000
0.01620000,220.29790000
0.01640000,220.87770000
0.01660000,218.86350000
0.01680000,220.87770000
0.01700000,219.71800000
0.01720000,220.29790000
0.01740000,220.87770000
0.01760000,221.74750000
0.01780000,220.87770000
0.01800000,220.00790000
0.01820000,220.58780000
0.01840000,220.87770000
0.01860000,220.00790000
0.01880000,221.16760000
0.01900000,220.00790000
0.01920000,220.00790000
0.01940000,220.00790000
0.01960000,219.42810000
0.01980000,220.29790000
0.02000000,221.74750000
0.02020000,218.57360000
0.02040000,220.29790000
0.02060000,222.03740000
0.02080000,218.57360000
0.02100000,220.58780000
0.02120000,220.87770000
0.02140000,221.45760000
0.02160000,220.87770000
0.02180000,220.87770000
0.02200000,220.58780000
0.02220000,220.29790000
0.02240000,220.87770000
0.02260000,220.00790000
0.02280000,220.29790000
0.02300000,220.58780000
0.02320000,220.58780000
0.02340000,220.87770000
0.02360000,222.03740000
0.02380000,221.16760000
0.02400000,222.32730000
0.02420000,221.16760000
0.02440000,219.15340000
0.02460000,222.03740000
0.02480000,221.16760000
0.02500000,221.16760000
0.02520000,219.71800000
0.02540000,222.61720000
0.02560000,223.48700000
0.02580000,219.15340000
0.02600000,220.87770000
0.02620000,222.61720000
0.02640000,223.19710000
0.02660000,221.16760000
0.02680000,222.03740000
0.02700000,222.32730000
0.02720000,220.58780000
0.02740000,221.45760000
0.02760000,221.16760000
0.02780000,220.29790000
0.02800000,221.74750000
0.02820000,220.87770000
0.02840000,221.16760000
0.02860000,220.29790000
0.02880000,219.15340000
0.02900000,221.45760000
0.02920000,219.42810000
0.02940000,221.45760000
0.02960000,220.29790000
0.02980000,221.45760000
0.03000000,221.74750000
0.03020000,220.29790000
0.03040000,218.86350000
0.03060000,221.16760000
0.03080000,222.03740000
0.03100000,217.99370000
0.03120000,220.29790000
0.03140000,220.87770000
0.03160000,218.57360000
0.03180000,223.48700000
0.03200000,222.32730000
0.03220000,220.00790000
0.03240000,220.29790000
0.03260000,220.87770000
0.03280000,220.29790000
0.03300000,219.15340000
0.03320000,220.87770000
0.03340000,220.58780000
0.03360000,220.87770000
0.03380000,220.87770000
0.03400000,220.00790000
0.03420000,221.45760000
0.03440000,219.71800000
0.03460000,221.16760000
0.03480000,221.16760000
