Time,Channel B
(s),(mV)

0.00000000,225.22660000
0.00020000,225.22660000
0.00040000,223.77690000
0.00060000,225.51650000
0.00080000,226.38630000
0.00100000,223.48700000
0.00120000,224.35680000
0.00140000,224.64670000
0.00160000,223.48700000
0.00180000,223.77690000
0.00200000,225.80640000
0.00220000,224.35680000
0.00240000,223.77690000
0.00260000,223.77690000
0.00280000,223.77690000
0.00300000,224.64670000
0.00320000,224.64670000
0.00340000,225.80640000
0.00360000,222.61720000
0.00380000,228.12580000
0.00400000,223.77690000
0.00420000,225.51650000
0.00440000,224.64670000
0.00460000,224.35680000
0.00480000,225.22660000
0.00500000,223.77690000
0.00520000,222.90720000
0.00540000,223.48700000
0.00560000,224.64670000
0.00580000,222.32730000
0.00600000,224.35680000
0.00620000,225.22660000
0.00640000,223.77690000
0.00660000,224.35680000
0.00680000,223.19710000
0.00700000,224.35680000
0.00720000,224.64670000
0.00740000,223.77690000
0.00760000,224.35680000
0.00780000,223.77690000
0.00800000,224.06690000
0.00820000,224.64670000
0.00840000,224.64670000
0.00860000,224.35680000
0.00880000,224.93670000
0.00900000,224.06690000
0.00920000,224.35680000
0.00940000,222.61720000
0.00960000,224.35680000
0.00980000,224.06690000
0.01000000,224.64670000
0.01020000,224.06690000
0.01040000,223.77690000
0.01060000,223.48700000
0.01080000,222.90720000
0.01100000,223.48700000
0.01120000,224.06690000
0.01140000,225.51650000
0.01160000,223.77690000
0.01180000,222.90720000
0.01200000,225.22660000
0.01220000,223.77690000
0.01240000,224.35680000
0.01260000,222.90720000
0.01280000,224.93670000
0.01300000,224.35680000
0.01320000,224.64670000
0.01340000,224.93670000
0.01360000,224.93670000
0.01380000,223.19710000
0.01400000,223.77690000
0.01420000,223.77690000
0.01440000,223.77690000
0.01460000,223.77690000
0.01480000,224.64670000
0.01500000,224.06690000
0.01520000,222.90720000
0.01540000,224.06690000
0.01560000,224.35680000
0.01580000,224.35680000
0.01600000,224.35680000
0.01620000,223.48700000
0.01640000,225.80640000
0.01660000,224.06690000
0.01680000,222.32730000
0.01700000,224.64670000
0.01720000,223.19710000
0.01740000,222.90720000
0.01760000,223.19710000
0.01780000,224.06690000
0.01800000,222.32730000
0.01820000,224.35680000
0.01840000,225.51650000
0.01860000,223.19710000
0.01880000,224.35680000
0.01900000,222.90720000
0.01920000,223.48700000
0.01940000,224.35680000
0.01960000,223.77690000
0.01980000,223.19710000
0.02000000,224.93670000
0.02020000,222.90720000
0.02040000,224.06690000
0.02060000,222.32730000
0.02080000,223.19710000
0.02100000,221.74750000
0.02120000,223.19710000
0.02140000,224.06690000
0.02160000,224.35680000
0.02180000,224.35680000
0.02200000,222.90720000
0.02220000,223.48700000
0.02240000,224.93670000
0.02260000,222.90720000
0.02280000,224.35680000
0.02300000,224.93670000
0.02320000,222.32730000
0.02340000,224.64670000
0.02360000,225.51650000
0.02380000,222.03740000
0.02400000,225.80640000
0.02420000,223.48700000
0.02440000,224.35680000
0.02460000,223.77690000
0.02480000,224.35680000
0.02500000,222.61720000
0.02520000,224.06690000
0.02540000,221.74750000
0.02560000,224.64670000
0.02580000,223.77690000
0.02600000,225.80640000
0.02620000,224.35680000
0.02640000,225.80640000
0.02660000,224.93670000
0.02680000,222.61720000
0.02700000,224.93670000
0.02720000,223.77690000
0.02740000,224.64670000
0.02760000,226.09640000
0.02780000,222.90720000
0.02800000,222.32730000
0.02820000,224.06690000
0.02840000,224.93670000
0.02860000,223.48700000
0.02880000,224.06690000
0.02900000,224.93670000
0.02920000,224.35680000
0.02940000,223.48700000
0.02960000,222.61720000
0.02980000,225.51650000
0.03000000,224.64670000
0.03020000,224.64670000
0.03040000,224.64670000
0.03060000,224.06690000
0.03080000,224.35680000
0.03100000,223.19710000
0.03120000,223.77690000
0.03140000,223.77690000
0.03160000,224.93670000
0.03180000,223.19710000
0.03200000,224.35680000
0.03220000,223.19710000
0.03240000,225.80640000
0.03260000,225.22660000
0.03280000,223.48700000
0.03300000,224.64670000
0.03320000,223.48700000
0.03340000,224.64670000
0.03360000,225.51650000
0.03380000,223.48700000
0.03400000,224.64670000
0.03420000,224.93670000
0.03440000,223.77690000
0.03460000,224.35680000
0.03480000,223.77690000
