x-axis,1,2,3
second,Volt,Volt,Volt
-1.26400000E+00,,,
-1.26394074E+00,,,
-1.26388148E+00,,,
-1.26382222E+00,,,
-1.26376296E+00,,,
-1.26370370E+00,,,
-1.26364444E+00,,,
-1.26358519E+00,,,
-1.26352593E+00,,,
-1.26346667E+00,,,
-1.26340741E+00,,,
-1.26334815E+00,,,
-1.26328889E+00,,,
-1.26322963E+00,,,
-1.26317037E+00,,,
-1.26311111E+00,,,
-1.26305185E+00,,,
-1.26299259E+00,,,
-1.26293333E+00,,,
-1.26287407E+00,,,
-1.26281481E+00,,,
-1.26275556E+00,,,
-1.26269630E+00,,,
-1.26263704E+00,,,
-1.26257778E+00,,,
-1.26251852E+00,,,
-1.26245926E+00,-25.09194105E+00,+85.10147E-03,-53.01506E-03
-1.26240000E+00,-24.60804006E+00,+74.12064E-03,-58.04018E-03
-1.26234074E+00,-26.09696618E+00,+113.39106E-03,+63.86564E-03
-1.26228148E+00,-25.17383198E+00,+74.12064E-03,-93.21606E-03
-1.26222222E+00,-25.05471789E+00,+114.32164E-03,-93.21606E-03
-1.26216296E+00,-25.31155765E+00,+74.12064E-03,+29.99257E-03
-1.26210370E+00,-25.00260548E+00,+83.42643E-03,-37.56745E-03
-1.26204444E+00,-25.31155765E+00,+74.12064E-03,-20.07257E-03
-1.26198519E+00,-24.50753754E+00,+40.99203E-03,-122.80847E-03
-1.26192593E+00,-25.26316755E+00,+38.75864E-03,-88.37705E-03
-1.26186667E+00,-25.31155765E+00,+74.12064E-03,-61.39027E-03
-1.26180741E+00,-25.31155765E+00,+74.12064E-03,-38.68414E-03
-1.26174815E+00,-24.91326991E+00,+94.40726E-03,-93.21606E-03
-1.26168889E+00,-25.31155765E+00,+100.36296E-03,-40.73142E-03
-1.26162963E+00,-25.31155765E+00,+66.11766E-03,-133.41707E-03
-1.26157037E+00,-25.27061218E+00,+112.27437E-03,-50.96778E-03
-1.26151111E+00,-25.23338903E+00,+110.41321E-03,-12.81405E-03
-1.26145185E+00,-25.50884036E+00,+114.32164E-03,-73.48779E-03
-1.26139259E+00,-25.31155765E+00,+74.12064E-03,-85.95755E-03
-1.26133333E+00,-25.31155765E+00,+95.89618E-03,+64.23787E-03
-1.26127407E+00,-25.31155765E+00,+142.05289E-03,-53.01506E-03
-1.26121481E+00,-24.63781858E+00,+114.32164E-03,-59.52911E-03
-1.26115556E+00,-25.31155765E+00,+74.67898E-03,+27.38695E-03
-1.26109630E+00,-25.31155765E+00,+114.32164E-03,-77.02399E-03
