Time,Channel A,Channel B
(s),(V),(mV)

0.00000000,0.44575330,23.44432000
0.00050000,0.44575330,24.42701000
0.00100000,0.44575330,23.56029000
0.00150000,0.44575330,23.15744000
0.00200000,0.44575330,21.94586000
0.00250000,0.44575330,23.56029000
0.00300000,0.44575330,22.86752000
0.00350000,0.44337290,25.06180000
0.00400000,0.44691310,23.67626000
0.00450000,0.44453260,23.50230000
0.00500000,0.44575330,23.44432000
0.00550000,0.44575330,23.73424000
0.00600000,0.44575330,25.40666000
0.00650000,0.44575330,24.19507000
0.00700000,0.44453260,25.23270000
0.00750000,0.44575330,24.59792000
0.00800000,0.44691310,23.21543000
0.00850000,0.44575330,23.96313000
0.00900000,0.44453260,24.19507000
0.00950000,0.44453260,24.31104000
0.01000000,0.44453260,24.71389000
0.01050000,0.44453260,23.79223000
0.01100000,0.44575330,24.48195000
0.01150000,0.44453260,23.90515000
0.01200000,0.44575330,24.31104000
0.01250000,0.44691310,23.09946000
0.01300000,0.44453260,23.79223000
0.01350000,0.44453260,22.29072000
0.01400000,0.44453260,22.46467000
0.01450000,0.44575330,21.94586000
0.01500000,0.44453260,22.98349000
0.01550000,0.44453260,24.53993000
0.01600000,0.44453260,25.98346000
0.01650000,0.44453260,23.90515000
0.01700000,0.44453260,24.77187000
0.01750000,0.44575330,24.88784000
0.01800000,0.44453260,24.48195000
0.01850000,0.44453260,23.96313000
0.01900000,0.44453260,26.27338000
0.01950000,0.44337290,23.44432000
0.02000000,0.44337290,24.36903000
0.02050000,0.44337290,22.63558000
0.02100000,0.44337290,23.32835000
0.02150000,0.44221320,24.88784000
0.02200000,0.44337290,25.06180000
0.02250000,0.44337290,24.71389000
0.02300000,0.44453260,23.79223000
0.02350000,0.44337290,24.42701000
0.02400000,0.44337290,23.44432000
0.02450000,0.44337290,23.79223000
0.02500000,0.44337290,23.38633000
0.02550000,0.44337290,24.94583000
0.02600000,0.44337290,23.96313000
0.02650000,0.44453260,26.90817000
0.02700000,0.44453260,24.71389000
0.02750000,0.44453260,23.61827000
0.02800000,0.44453260,23.90515000
0.02850000,0.44337290,25.63860000
0.02900000,0.44337290,23.38633000
0.02950000,0.44337290,22.98349000
0.03000000,0.44453260,23.32835000
0.03050000,0.44221320,21.53996000
0.03100000,0.44337290,23.96313000
0.03150000,0.44337290,24.07910000
0.03200000,0.44453260,24.02112000
0.03250000,0.44337290,23.67626000
0.03300000,0.44337290,25.23270000
0.03350000,0.44453260,23.44432000
0.03400000,0.44337290,24.13709000
0.03450000,0.44337290,25.00381000
0.03500000,0.44221320,23.79223000
0.03550000,0.44221320,24.07910000
0.03600000,0.44337290,23.61827000
0.03650000,0.44337290,24.31104000
0.03700000,0.44337290,24.48195000
0.03750000,0.44221320,23.67626000
0.03800000,0.44221320,22.86752000
0.03850000,0.44221320,23.79223000
0.03900000,0.44337290,23.84716000
0.03950000,0.44221320,22.92550000
0.04000000,0.44221320,23.90515000
0.04050000,0.44221320,22.98349000
0.04100000,0.44453260,24.65590000
0.04150000,0.44337290,22.46467000
0.04200000,0.44221320,24.31104000
0.04250000,0.44337290,23.79223000
0.04300000,0.44221320,23.79223000
0.04350000,0.44221320,24.71389000
0.04400000,0.44337290,23.90515000
0.04450000,0.44337290,24.31104000
0.04500000,0.44337290,22.69356000
0.04550000,0.44221320,23.50230000
0.04600000,0.44221320,22.17475000
0.04650000,0.44221320,24.36903000
0.04700000,0.44221320,25.92547000
0.04750000,0.44453260,23.09946000
0.04800000,0.44105350,24.94583000
0.04850000,0.44221320,25.11673000
0.04900000,0.44105350,23.96313000
0.04950000,0.44221320,24.48195000
0.05000000,0.44221320,24.02112000
0.05050000,0.44221320,24.59792000
0.05100000,0.44221320,24.02112000
0.05150000,0.44221320,24.07910000
0.05200000,0.44337290,24.48195000
0.05250000,0.44221320,23.38633000
0.05300000,0.44221320,23.21543000
0.05350000,0.44221320,23.90515000
0.05400000,0.44105350,25.11673000
0.05450000,0.44105350,23.61827000
0.05500000,0.44221320,22.40669000
0.05550000,0.44221320,24.02112000
0.05600000,0.44105350,22.80953000
0.05650000,0.44105350,25.11673000
0.05700000,0.44221320,22.17475000
0.05750000,0.44105350,24.25306000
0.05800000,0.44221320,23.09946000
0.05850000,0.44105350,23.44432000
0.05900000,0.44105350,22.69356000
