Time,Channel A,Channel B
(s),(V),(mV)

0.00000000,0.47029020,31.23569000
0.00050000,0.47029020,31.06174000
0.00100000,0.47029020,31.06174000
0.00150000,0.47029020,29.04141000
0.00200000,0.47151100,29.61821000
0.00250000,0.47151100,29.33134000
0.00300000,0.47151100,30.42695000
0.00350000,0.47029020,30.82980000
0.00400000,0.47029020,30.42695000
0.00450000,0.47029020,29.38932000
0.00500000,0.47267070,28.75454000
0.00550000,0.47151100,30.42695000
0.00600000,0.47029020,29.21537000
0.00650000,0.47029020,29.27335000
0.00700000,0.47029020,30.65889000
0.00750000,0.47151100,31.11972000
0.00800000,0.47029020,28.46461000
0.00850000,0.46913050,28.46461000
0.00900000,0.47029020,29.61821000
0.00950000,0.46913050,30.13703000
0.01000000,0.46913050,30.77181000
0.01050000,0.47029020,28.58058000
0.01100000,0.47029020,29.15738000
0.01150000,0.47029020,26.61824000
0.01200000,0.47029020,29.85015000
0.01250000,0.46913050,29.50529000
0.01300000,0.46913050,29.33134000
0.01350000,0.47029020,28.40663000
0.01400000,0.47029020,28.11975000
0.01450000,0.47029020,28.34864000
0.01500000,0.46913050,29.38932000
0.01550000,0.47029020,29.27335000
0.01600000,0.47029020,28.46461000
0.01650000,0.46913050,30.08209000
0.01700000,0.47029020,30.71688000
0.01750000,0.47029020,28.75454000
0.01800000,0.47029020,29.38932000
0.01850000,0.46913050,28.52260000
0.01900000,0.46913050,30.25300000
0.01950000,0.47029020,30.31098000
0.02000000,0.46797080,31.11972000
0.02050000,0.46913050,30.19501000
0.02100000,0.46797080,29.33134000
0.02150000,0.46913050,31.29368000
0.02200000,0.46913050,30.08209000
0.02250000,0.46913050,27.88781000
0.02300000,0.46913050,29.73418000
0.02350000,0.46913050,27.19504000
0.02400000,0.46913050,31.06174000
0.02450000,0.46913050,30.60091000
0.02500000,0.47029020,29.73418000
0.02550000,0.46913050,30.42695000
0.02600000,0.47029020,29.33134000
0.02650000,0.46913050,30.02411000
0.02700000,0.46797080,28.34864000
0.02750000,0.46913050,30.77181000
0.02800000,0.46797080,29.04141000
0.02850000,0.47151100,30.31098000
0.02900000,0.46913050,30.25300000
0.02950000,0.46797080,29.50529000
0.03000000,0.46913050,28.98343000
0.03050000,0.46797080,29.90814000
0.03100000,0.46797080,28.63857000
0.03150000,0.46797080,28.06177000
0.03200000,0.46913050,28.75454000
0.03250000,0.46797080,29.73418000
0.03300000,0.46797080,29.73418000
0.03350000,0.46797080,28.92544000
0.03400000,0.46913050,28.00378000
0.03450000,0.46681110,30.54292000
0.03500000,0.46913050,30.13703000
0.03550000,0.46797080,32.38929000
0.03600000,0.46913050,30.02411000
0.03650000,0.46681110,29.73418000
0.03700000,0.46797080,29.85015000
0.03750000,0.46797080,30.42695000
0.03800000,0.46797080,28.40663000
0.03850000,0.46913050,31.35167000
0.03900000,0.46681110,29.73418000
0.03950000,0.46797080,29.50529000
0.04000000,0.46681110,28.23572000
0.04050000,0.46565140,29.61821000
0.04100000,0.46681110,30.36897000
0.04150000,0.46681110,30.08209000
0.04200000,0.46681110,29.67620000
0.04250000,0.46797080,30.02411000
0.04300000,0.46797080,31.58055000
0.04350000,0.46681110,31.29368000
0.04400000,0.46797080,29.67620000
0.04450000,0.46797080,28.87051000
0.04500000,0.46681110,29.56023000
0.04550000,0.46797080,29.27335000
0.04600000,0.46797080,28.92544000
0.04650000,0.46681110,30.42695000
0.04700000,0.46681110,29.79217000
0.04750000,0.46797080,29.50529000
0.04800000,0.46681110,29.33134000
0.04850000,0.46797080,30.13703000
0.04900000,0.46681110,29.79217000
0.04950000,0.46681110,29.27335000
0.05000000,0.46681110,28.75454000
0.05050000,0.46681110,30.42695000
0.05100000,0.46565140,29.44731000
0.05150000,0.46565140,29.44731000
0.05200000,0.46565140,28.00378000
0.05250000,0.46797080,28.69655000
0.05300000,0.46565140,28.69655000
0.05350000,0.46681110,29.33134000
0.05400000,0.46681110,29.90814000
0.05450000,0.46681110,29.67620000
0.05500000,0.46565140,29.50529000
0.05550000,0.46565140,30.13703000
0.05600000,0.46565140,29.61821000
0.05650000,0.46681110,29.15738000
0.05700000,0.46797080,28.58058000
0.05750000,0.46681110,29.50529000
0.05800000,0.46681110,30.88778000
0.05850000,0.46797080,29.90814000
0.05900000,0.46565140,30.77181000
