ShelvingIntensityAverage75A,ShelvingIntensityUncertainty75A
0.1902788008752007,0.0106211856545286
0.1190802788506201,0.0166079501602751
0.1210803079527113,0.0142638418612629
0.1620523052600508,0.0120979669911965
0.1809961992899243,0.0117269813098168
0.1961249265983913,0.018274110477580194
0.2423910551007492,0.0067095308345919
0.2499355267526574,0.0152820281683521
0.2941999845654753,0.0229672386116696
0.3132289981922485,0.0221037941121753
0.381165508546843,0.0208047899115938
0.3716239507962629,0.0273267117394648
0.4136879025569072,0.0163084820762298
0.3650056409397197,0.0109725013244896
0.4122883369856711,0.0185207693150403
0.362586119348781,0.0212328169053451
0.3736059784007162,0.0167995098364302
0.426354939192307,0.0130022340267596
0.4056441524122086,0.0156645652130129
0.3971359858092778,0.0356372768931177
0.4260202386375206,0.0270565196026469
0.380148651685208,0.014071061335711
0.4518086909610094,0.0229342018347796
0.4547962300911771,0.0085362199994091
0.4876883912820214,0.0267694383345555
0.458345717674902,0.0196079292552009
0.4831347516992824,0.0281605845396786
0.4969455602880989,0.0092174448871421
0.4939252882395915,0.0140814701543657
0.4820684093608162,0.0202595741517033
0.4511806317641816,0.0255628119886962
0.4691676475601342,0.0420976850361641
0.4690481360239619,0.0137011627780139
0.5259376751278216,0.0119250482933813
0.453117746574905,0.0208625627845802
0.4859386907697903,0.0270883887740068
0.4884797791975327,0.0306832192407053
0.4667038738899285,0.0147531196407479
0.4644468489922858,0.0319033864457798
0.4439627677415159,0.0124345969752754
0.4267885482276537,0.0154978893306116
0.4406831427090911,0.0028750059546672
0.4590899092442584,0.0210917063243473
0.4525779470866953,0.0239916004092267
0.4538382913976064,0.028054457964271
0.4462320231674062,0.0208237499508843
0.4539428011507487,0.0282878015325463
0.4311036725817693,0.0154048859843586
0.471521936119942,0.022263490672155
0.4176544350954626,0.017364626910224255
0.3644402841114194,0.0211537391857766
0.4398888735343478,0.0205743225797898
0.4306742540455138,0.0164286501056225
0.3346995055127673,0.0123963034336009
0.3283341416347042,0.009581236222115
0.3541567238840274,0.0120077249759243
0.3054328092989183,0.0135619391114355
0.2820806670322598,0.0226256184202508
0.2526302659789243,0.0133161123604208
0.2473843844126212,0.0121075407400277
0.1512002175784949,0.0202613410593264
0.1479356132614961,0.0108807256584593
0.1250389437083246,0.019850370600316
0.1100633857762078,0.0151358572167383
0.1044516668639966,0.0064109121195321
0.1025977198459435,0.008476977405717
0.0987531910844622,0.0121032619739107
0.0887628552817395,0.0061121857948286
0.0848415803873412,0.0134654412007508
0.0614805777023104,0.016792859122584
0.0714504848056485,0.0120482251468161
0.0672182060740798,0.0127808083599439
0.0431401172952288,0.0132731860981868
0.0124630404010569,0.0124773388470469
0.0676784184141369,0.0200624686471589
0.0581914886940889,0.001502238022916
0.060829943026395,0.0146099087330493
