ShelvingIntensityAverage50A,ShelvingIntensityUncertainty50A
0.0860578274033301,0.0173688932369619
0.1264399210260017,0.0332247504395283
0.0691036398998496,0.0384799009743143
0.1431521823083152,0.0394165086554578
0.1320362720075371,0.0197289722711823
0.1516346328548256,0.0166795065908582
0.1636729290936219,0.0158820172566657
0.151515006913023,0.0205482464314751
0.2301019312548408,0.0308962858041082
0.1669378439431797,0.0474958370043587
0.151394131492297,0.0177280337519658
0.3704835150422804,0.1155078208831762
0.3253001940418494,0.0709244882035551
0.3039013674703379,0.0193406544575845
0.3244178469149905,0.0308528559421667
0.2987236132890142,0.0473488909145065
0.3920890695353869,0.0252208109213512
0.3788368569431337,0.0105604911293567
0.3037672429291237,0.0111088199078081
0.3315386348067145,0.0420006123601095
0.4000423544718964,0.0595245441951348
0.403744298074828,0.0294257262177864
0.3387985229830345,0.0765955908018418
0.3965493318066272,0.0333307397308179
0.3634163196590521,0.0439899314298269
0.2156082543251578,0.1376732188742087
0.3650891515817036,0.0259391442219063
0.2944768687207025,0.0525246720508597
0.3303691474251434,0.0437385515676963
0.3711805271067576,0.0318706682914716
0.4141952072337851,0.0152203150115666
0.3096496683663995,0.039507237186946
0.3340835395688368,0.0365560752698915
0.4283686169051351,0.0230838935565194
0.3828223545329082,0.0294039417585437
0.3746493198955553,0.0367157558792606
0.3301482968008813,0.0483549224209623
0.3788927832087839,0.0027936334829781
0.3624104302138864,0.0177186114629307
0.257057924980969,0.0362773243544344
0.2116655065808597,0.0777107095475336
0.2996942595070775,0.0825798193880014
0.3296064016001344,0.0441807330975242
0.3600233982073536,0.069186223511271
0.4378702520096105,0.0413711560262856
0.3395134682170028,0.0334988363356895
0.4020055880514474,0.0318032860393576
0.3161331653843443,0.0478339908831257
0.2782723236189495,0.0545251493761726
0.5343198587856604,0.1626361651839221
0.3468934733428079,0.0446096013957828
0.1811617900422396,0.0483889325505401
0.2172099719306191,0.0161450053158448
0.2331551134314419,0.0145121324111099
0.1475688072023299,0.0225007078212506
0.1320080859581131,0.0426978587454832
0.0624250444401768,0.0504705922783515
0.0420004417085236,0.0540976657424388
0.1643670113410016,0.0216648606675167
0.0453582844478121,0.017712057906854
0.0867920583726391,0.0302650594139067
0.1276884600867832,0.0455313555353723
0.1229503327710526,0.0210695777482104
0.1187803015618573,0.0117194848778633
0.1082425873775166,0.0279949325200389
0.1235919360164834,0.0478097597045307
3.0931649788863247,0.1801314084000652
0.0429278046348434,0.0411819963135607
0.3497256675969613,0.068276362366439
0.1818125637602654,0.0624681994329538
0.0552113146957277,0.0460798421965852
0.0554284547122627,0.0225455252208156
0.0190187112615764,0.0269805421115833
0.0656346130125083,0.0441906591913773
0.0279978026639073,0.0441034232241396
0.1716358447476614,0.022569302871077
0.2622982116671979,0.0053909351849123
