Time,Channel A,Channel B
(s),(V),(mV)

0.00000000,-0.11151460,20.04151000
0.00050000,-0.11151460,19.46165000
0.00100000,-0.11273540,20.32838000
0.00150000,-0.11151460,19.63561000
0.00200000,-0.11035490,19.69359000
0.00250000,-0.11151460,21.13712000
0.00300000,-0.11273540,19.34873000
0.00350000,-0.11035490,21.42399000
0.00400000,-0.11273540,20.50233000
0.00450000,-0.11273540,19.00082000
0.00500000,-0.11273540,19.46165000
0.00550000,-0.11273540,19.57762000
0.00600000,-0.11273540,21.59795000
0.00650000,-0.11273540,19.46165000
0.00700000,-0.11273540,19.92554000
0.00750000,-0.11151460,18.25007000
0.00800000,-0.11273540,18.65596000
0.00850000,-0.11389510,17.38639000
0.00900000,-0.11389510,19.11679000
0.00950000,-0.11273540,20.90518000
0.01000000,-0.11273540,20.50233000
0.01050000,-0.11389510,19.17478000
0.01100000,-0.11389510,18.65596000
0.01150000,-0.11389510,19.17478000
0.01200000,-0.11389510,19.86755000
0.01250000,-0.11505480,17.44438000
0.01300000,-0.11389510,19.29075000
0.01350000,-0.11273540,19.05881000
0.01400000,-0.11389510,21.48198000
0.01450000,-0.11273540,20.67629000
0.01500000,-0.11273540,21.36601000
0.01550000,-0.11389510,19.80956000
0.01600000,-0.11389510,19.63561000
0.01650000,-0.11273540,19.69359000
0.01700000,-0.11273540,19.86755000
0.01750000,-0.11505480,19.51964000
0.01800000,-0.11389510,20.61831000
0.01850000,-0.11389510,19.23276000
0.01900000,-0.11505480,18.65596000
0.01950000,-0.11389510,20.27039000
0.02000000,-0.11389510,19.00082000
0.02050000,-0.11389510,17.67327000
0.02100000,-0.11505480,19.23276000
0.02150000,-0.11389510,19.86755000
0.02200000,-0.11505480,20.27039000
0.02250000,-0.11389510,18.53999000
0.02300000,-0.11505480,17.56035000
0.02350000,-0.11505480,20.27039000
0.02400000,-0.11505480,20.27039000
0.02450000,-0.11505480,20.78921000
0.02500000,-0.11621450,19.86755000
0.02550000,-0.11505480,20.15442000
0.02600000,-0.11389510,19.23276000
0.02650000,-0.11505480,19.46165000
0.02700000,-0.11505480,20.61831000
0.02750000,-0.11505480,20.90518000
0.02800000,-0.11505480,20.27039000
0.02850000,-0.11505480,20.32838000
0.02900000,-0.11505480,22.00079000
0.02950000,-0.11621450,20.38636000
0.03000000,-0.11621450,18.71395000
0.03050000,-0.11505480,18.36604000
0.03100000,-0.11389510,16.46169000
0.03150000,-0.11621450,20.78921000
0.03200000,-0.11621450,20.38636000
0.03250000,-0.11505480,20.15442000
0.03300000,-0.11621450,19.23276000
0.03350000,-0.11505480,18.48201000
0.03400000,-0.11505480,20.21241000
0.03450000,-0.11505480,19.51964000
0.03500000,-0.11621450,20.09644000
0.03550000,-0.11505480,20.84719000
0.03600000,-0.11505480,20.27039000
0.03650000,-0.11505480,22.00079000
0.03700000,-0.11505480,19.75158000
0.03750000,-0.11621450,21.13712000
0.03800000,-0.11621450,20.84719000
0.03850000,-0.11621450,19.69359000
0.03900000,-0.11621450,20.84719000
0.03950000,-0.11621450,20.67629000
0.04000000,-0.11621450,19.00082000
0.04050000,-0.11621450,17.96319000
0.04100000,-0.11621450,19.92554000
0.04150000,-0.11621450,20.56032000
0.04200000,-0.11621450,17.96319000
0.04250000,-0.11621450,20.50233000
0.04300000,-0.11621450,19.46165000
0.04350000,-0.11505480,19.98352000
0.04400000,-0.11621450,18.71395000
0.04450000,-0.11621450,20.96317000
0.04500000,-0.11505480,21.13712000
0.04550000,-0.11621450,19.29075000
0.04600000,-0.11621450,20.50233000
0.04650000,-0.11621450,20.04151000
0.04700000,-0.11737420,20.09644000
0.04750000,-0.11621450,20.15442000
0.04800000,-0.11737420,19.05881000
0.04850000,-0.11621450,20.27039000
0.04900000,-0.11859490,23.04147000
0.04950000,-0.11621450,20.78921000
0.05000000,-0.11621450,20.09644000
0.05050000,-0.11621450,18.42402000
0.05100000,-0.11621450,19.51964000
0.05150000,-0.11737420,18.65596000
0.05200000,-0.11737420,19.86755000
0.05250000,-0.11737420,18.48201000
0.05300000,-0.11737420,19.23276000
0.05350000,-0.11737420,20.09644000
0.05400000,-0.11737420,19.75158000
0.05450000,-0.11737420,20.96317000
0.05500000,-0.11737420,19.40672000
0.05550000,-0.11737420,20.67629000
0.05600000,-0.11859490,18.71395000
