x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+600.000E-03,+4.306596E+00,-111.558E-03,+1.206030E+00,-402.010E-03
+608.000E-03,+4.145792E+00,+1.005E-03,+804.020E-03,-402.010E-03
+616.000E-03,+4.386998E+00,+57.286E-03,-3.618090E+00,-402.010E-03
+624.000E-03,+4.467400E+00,+1.005E-03,+402.010E-03,-422.111E-03
+632.000E-03,+4.547802E+00,+57.286E-03,+2.010050E+00,-381.910E-03
+640.000E-03,+4.306596E+00,-111.558E-03,-2.010050E+00,-442.211E-03
+648.000E-03,+4.226194E+00,+73.367E-03,+0.0E+00,-422.111E-03
+656.000E-03,+4.547802E+00,-143.719E-03,+2.814070E+00,-442.211E-03
+664.000E-03,+4.306596E+00,-39.196E-03,+402.010E-03,-442.211E-03
+672.000E-03,+4.145792E+00,+41.206E-03,-1.608040E+00,-422.111E-03
+680.000E-03,+4.226194E+00,-23.116E-03,-1.206030E+00,-442.211E-03
+688.000E-03,+4.226194E+00,+73.367E-03,-402.010E-03,-442.211E-03
+696.000E-03,+4.386998E+00,+97.487E-03,+2.010050E+00,-422.111E-03
+704.000E-03,+3.904586E+00,-167.839E-03,+3.618090E+00,-422.111E-03
+712.000E-03,+4.226194E+00,-167.839E-03,+1.206030E+00,-422.111E-03
+720.000E-03,+4.306596E+00,-159.799E-03,-2.412060E+00,-402.010E-03
+728.000E-03,+3.984988E+00,+89.447E-03,-402.010E-03,-422.111E-03
+736.000E-03,+4.065390E+00,+17.085E-03,+1.206030E+00,-422.111E-03
+744.000E-03,+3.824184E+00,+1.005E-03,-2.010050E+00,-402.010E-03
+752.000E-03,+4.226194E+00,-111.558E-03,+2.814070E+00,-361.809E-03
+760.000E-03,+4.226194E+00,+17.085E-03,-2.814070E+00,-402.010E-03
+768.000E-03,+4.145792E+00,-151.759E-03,+4.020101E+00,-381.910E-03
+776.000E-03,+4.145792E+00,+17.085E-03,-4.020101E+00,-402.010E-03
+784.000E-03,+3.743782E+00,-15.075E-03,-2.010050E+00,-422.111E-03
+792.000E-03,+4.226194E+00,+1.005E-03,-3.618090E+00,-402.010E-03
+800.000E-03,+3.984988E+00,-71.357E-03,+0.0E+00,-422.111E-03
+808.000E-03,+4.467400E+00,-143.719E-03,+1.608040E+00,-402.010E-03
+816.000E-03,+4.145792E+00,+121.608E-03,-4.422111E+00,-402.010E-03
+824.000E-03,+4.467400E+00,+105.528E-03,-1.608040E+00,-442.211E-03
+832.000E-03,+3.904586E+00,+65.327E-03,-804.020E-03,-381.910E-03
+840.000E-03,+4.547802E+00,-159.799E-03,+402.010E-03,-402.010E-03
+848.000E-03,+4.467400E+00,+73.367E-03,+1.608040E+00,-361.809E-03
+856.000E-03,+3.824184E+00,+97.487E-03,-804.020E-03,-422.111E-03
+864.000E-03,+4.065390E+00,+17.085E-03,+1.206030E+00,-442.211E-03
+872.000E-03,+4.386998E+00,-119.598E-03,+2.814070E+00,-422.111E-03
+880.000E-03,+4.065390E+00,+65.327E-03,+1.206030E+00,-402.010E-03
+888.000E-03,+4.467400E+00,-151.759E-03,-2.010050E+00,-381.910E-03
+896.000E-03,+4.386998E+00,-135.678E-03,+0.0E+00,-422.111E-03
+904.000E-03,+3.904586E+00,+57.286E-03,+3.216080E+00,-402.010E-03
+912.000E-03,+4.386998E+00,-127.638E-03,-1.608040E+00,-422.111E-03
+920.000E-03,+3.663380E+00,-119.598E-03,+2.010050E+00,-422.111E-03
+928.000E-03,+4.306596E+00,-111.558E-03,+3.216080E+00,-442.211E-03
+936.000E-03,+4.145792E+00,-23.116E-03,+804.020E-03,-462.312E-03
+944.000E-03,+3.824184E+00,+33.166E-03,-4.422111E+00,-442.211E-03
+952.000E-03,+4.065390E+00,+65.327E-03,-2.412060E+00,-402.010E-03
+960.000E-03,+4.708606E+00,-119.598E-03,-3.618090E+00,-422.111E-03
+968.000E-03,+4.226194E+00,-103.518E-03,+2.010050E+00,-422.111E-03
+976.000E-03,+3.904586E+00,-111.558E-03,-804.020E-03,-462.312E-03
+984.000E-03,+4.226194E+00,-39.196E-03,-2.814070E+00,-422.111E-03
+992.000E-03,+3.984988E+00,+81.407E-03,-804.020E-03,-402.010E-03
+1.000000E+00,+4.226194E+00,+81.407E-03,-3.618090E+00,-402.010E-03
+1.008000E+00,+4.145792E+00,-39.196E-03,-804.020E-03,-422.111E-03
+1.016000E+00,+3.824184E+00,+89.447E-03,-1.608040E+00,-361.809E-03
+1.024000E+00,+4.226194E+00,+121.608E-03,-4.422111E+00,-422.111E-03
+1.032000E+00,+4.306596E+00,-159.799E-03,+1.608040E+00,-381.910E-03
+1.040000E+00,+4.547802E+00,-31.156E-03,+0.0E+00,-402.010E-03
+1.048000E+00,+4.306596E+00,-87.437E-03,+2.412060E+00,-402.010E-03
+1.056000E+00,+4.306596E+00,+65.327E-03,-1.206030E+00,-402.010E-03
+1.064000E+00,+4.386998E+00,-47.236E-03,+3.216080E+00,-462.312E-03
+1.072000E+00,+4.145792E+00,+129.648E-03,-804.020E-03,-381.910E-03
+1.080000E+00,+4.065390E+00,+81.407E-03,-804.020E-03,-381.910E-03
+1.088000E+00,+4.226194E+00,-31.156E-03,+3.216080E+00,-422.111E-03
+1.096000E+00,+3.984988E+00,-151.759E-03,-3.216080E+00,-402.010E-03
+1.104000E+00,+4.467400E+00,-95.477E-03,-5.628141E+00,-402.010E-03
+1.112000E+00,+4.226194E+00,+17.085E-03,+4.422111E+00,-402.010E-03
+1.120000E+00,+4.226194E+00,-87.437E-03,+402.010E-03,-361.809E-03
+1.128000E+00,+4.386998E+00,-63.317E-03,-0.0E+00,-402.010E-03
+1.136000E+00,+4.226194E+00,-143.719E-03,-402.010E-03,-402.010E-03
+1.144000E+00,+4.065390E+00,+73.367E-03,-5.628141E+00,-402.010E-03
+1.152000E+00,+4.306596E+00,+81.407E-03,+1.608040E+00,-402.010E-03
+1.160000E+00,+3.984988E+00,-119.598E-03,+1.608040E+00,-422.111E-03
+1.168000E+00,+4.467400E+00,-7.035E-03,+2.814070E+00,-422.111E-03
+1.176000E+00,+4.226194E+00,-103.518E-03,-2.814070E+00,-402.010E-03
+1.184000E+00,+3.743782E+00,-127.638E-03,+2.412060E+00,-402.010E-03
+1.192000E+00,+4.306596E+00,+97.487E-03,+2.814070E+00,-422.111E-03
+1.200000E+00,+3.582978E+00,+1.005E-03,-6.030151E+00,-361.809E-03
+1.208000E+00,+4.065390E+00,+105.528E-03,-2.010050E+00,-422.111E-03
+1.216000E+00,+3.582978E+00,+81.407E-03,-1.608040E+00,-402.010E-03
+1.224000E+00,+4.226194E+00,-119.598E-03,-3.216080E+00,-442.211E-03
+1.232000E+00,+4.065390E+00,+33.166E-03,+2.814070E+00,-381.910E-03
+1.240000E+00,+4.306596E+00,+81.407E-03,+0.0E+00,-361.809E-03
+1.248000E+00,+4.145792E+00,+41.206E-03,+1.608040E+00,-442.211E-03
+1.256000E+00,+4.226194E+00,-79.397E-03,+1.206030E+00,-361.809E-03
+1.264000E+00,+4.145792E+00,+89.447E-03,+2.412060E+00,-442.211E-03
+1.272000E+00,+4.145792E+00,+33.166E-03,-0.0E+00,-381.910E-03
+1.280000E+00,+4.065390E+00,-63.317E-03,-2.814070E+00,-402.010E-03
+1.288000E+00,+4.386998E+00,-135.678E-03,+1.608040E+00,-442.211E-03
+1.296000E+00,+3.824184E+00,+57.286E-03,-1.206030E+00,-361.809E-03
+1.304000E+00,+4.467400E+00,+1.005E-03,-2.412060E+00,-422.111E-03
+1.312000E+00,+4.226194E+00,-151.759E-03,-2.412060E+00,-402.010E-03
+1.320000E+00,+4.306596E+00,-87.437E-03,+402.010E-03,-422.111E-03
+1.328000E+00,+4.547802E+00,+89.447E-03,-1.206030E+00,-442.211E-03
+1.336000E+00,+4.547802E+00,+73.367E-03,+2.010050E+00,-442.211E-03
+1.344000E+00,+4.065390E+00,+65.327E-03,-1.206030E+00,-402.010E-03
+1.352000E+00,+3.904586E+00,+57.286E-03,-2.814070E+00,-381.910E-03
+1.360000E+00,+3.904586E+00,+113.568E-03,+2.010050E+00,-442.211E-03
+1.368000E+00,+4.065390E+00,+113.568E-03,+2.412060E+00,-422.111E-03
+1.376000E+00,+3.824184E+00,-135.678E-03,+1.206030E+00,-402.010E-03
+1.384000E+00,+4.226194E+00,-159.799E-03,-2.412060E+00,-402.010E-03
+1.392000E+00,+3.904586E+00,+57.286E-03,+2.412060E+00,-381.910E-03
+1.400000E+00,+4.145792E+00,-135.678E-03,+2.010050E+00,-381.910E-03
+1.408000E+00,+4.386998E+00,-167.839E-03,-1.206030E+00,-381.910E-03
+1.416000E+00,+4.226194E+00,+33.166E-03,+1.608040E+00,-381.910E-03
+1.424000E+00,+4.547802E+00,-103.518E-03,-402.010E-03,-442.211E-03
+1.432000E+00,+3.984988E+00,+65.327E-03,-3.216080E+00,-381.910E-03
+1.440000E+00,+4.145792E+00,-143.719E-03,-2.010050E+00,-442.211E-03
+1.448000E+00,+4.226194E+00,-143.719E-03,+3.216080E+00,-422.111E-03
+1.456000E+00,+3.904586E+00,-127.638E-03,-402.010E-03,-402.010E-03
+1.464000E+00,+4.306596E+00,+97.487E-03,-1.206030E+00,-381.910E-03
+1.472000E+00,+3.904586E+00,+65.327E-03,-1.206030E+00,-442.211E-03
+1.480000E+00,+4.145792E+00,-103.518E-03,+402.010E-03,-402.010E-03
+1.488000E+00,+4.145792E+00,-135.678E-03,+1.206030E+00,-402.010E-03
+1.496000E+00,+4.145792E+00,+105.528E-03,-3.216080E+00,-422.111E-03
+1.504000E+00,+4.145792E+00,-87.437E-03,-5.226131E+00,-442.211E-03
+1.512000E+00,+4.226194E+00,-135.678E-03,-2.010050E+00,-422.111E-03
+1.520000E+00,+3.984988E+00,+25.126E-03,+804.020E-03,-402.010E-03
+1.528000E+00,+4.386998E+00,+113.568E-03,+1.206030E+00,-442.211E-03
+1.536000E+00,+4.065390E+00,+9.045E-03,-2.412060E+00,-422.111E-03
+1.544000E+00,+4.789008E+00,-95.477E-03,-4.422111E+00,-442.211E-03
+1.552000E+00,+4.065390E+00,+41.206E-03,-804.020E-03,-422.111E-03
+1.560000E+00,+4.386998E+00,-103.518E-03,+402.010E-03,-422.111E-03
+1.568000E+00,+3.984988E+00,+81.407E-03,-0.0E+00,-381.910E-03
+1.576000E+00,+4.386998E+00,-143.719E-03,-2.814070E+00,-422.111E-03
+1.584000E+00,+4.065390E+00,+73.367E-03,-2.412060E+00,-422.111E-03
+1.592000E+00,+4.467400E+00,-111.558E-03,-2.814070E+00,-422.111E-03
+1.600000E+00,+4.306596E+00,+1.005E-03,-2.814070E+00,-422.111E-03
+1.608000E+00,+4.226194E+00,+49.246E-03,-1.206030E+00,-402.010E-03
+1.616000E+00,+4.306596E+00,-87.437E-03,-1.206030E+00,-402.010E-03
+1.624000E+00,+4.467400E+00,-111.558E-03,-402.010E-03,-381.910E-03
+1.632000E+00,+3.984988E+00,+81.407E-03,-1.608040E+00,-442.211E-03
+1.640000E+00,+4.306596E+00,+105.528E-03,-6.030151E+00,-422.111E-03
+1.648000E+00,+4.226194E+00,-103.518E-03,+804.020E-03,-402.010E-03
+1.656000E+00,+4.467400E+00,+113.568E-03,-804.020E-03,-402.010E-03
+1.664000E+00,+4.065390E+00,+73.367E-03,-3.618090E+00,-442.211E-03
+1.672000E+00,+4.226194E+00,-159.799E-03,+2.010050E+00,-422.111E-03
+1.680000E+00,+4.547802E+00,+65.327E-03,-804.020E-03,-422.111E-03
+1.688000E+00,+4.065390E+00,+9.045E-03,+0.0E+00,-381.910E-03
+1.696000E+00,+4.145792E+00,-159.799E-03,+804.020E-03,-422.111E-03
+1.704000E+00,+3.904586E+00,+41.206E-03,+3.216080E+00,-402.010E-03
+1.712000E+00,+4.547802E+00,-71.357E-03,+3.618090E+00,-442.211E-03
+1.720000E+00,+3.824184E+00,-103.518E-03,-2.010050E+00,-402.010E-03
+1.728000E+00,+4.226194E+00,+57.286E-03,-3.216080E+00,-422.111E-03
+1.736000E+00,+4.386998E+00,+97.487E-03,+804.020E-03,-341.709E-03
+1.744000E+00,+4.145792E+00,+129.648E-03,-1.206030E+00,-381.910E-03
+1.752000E+00,+4.065390E+00,-135.678E-03,+2.814070E+00,-402.010E-03
+1.760000E+00,+4.145792E+00,+1.005E-03,-402.010E-03,-402.010E-03
+1.768000E+00,+4.065390E+00,+9.045E-03,+1.206030E+00,-402.010E-03
+1.776000E+00,+4.145792E+00,+65.327E-03,-2.010050E+00,-402.010E-03
+1.784000E+00,+4.065390E+00,+49.246E-03,-2.412060E+00,-422.111E-03
